SK|ATM|Marca|Modelo|Tipo_dispositivo|Tipo_monitor|Estatus_dispositivo|Sistema_Operativo|Denominacion_caseteros|Biometrico|Geolocaliza
23536|0002|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|NO INSTALADO|19.388584  -99.2479053
40655|0004|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|29.0880920999999  -110.957578
50302|0005|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.5203228  -100.823190399999
66062|0006|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|21.3413519  -97.6819429999999
70302|0007|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.5203228  -100.823190399999
85282|0008|HARD|DESCENDIO84|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.3838245  -99.0685270999999
90302|0009|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.5203228  -100.823190399999
106062|0010|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.4601172  -99.1748711999999
116062|0011|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|32.5318  -116.0826429
126062|0012|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|19.4479406  -99.1808452999999
130302|0013|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.5203228  -100.823190399999
140655|0014|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 500 500|INSTALADO|29.0880920999999  -110.957578
150017|0015|DUTY|NINBUS 2000|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|NO INSTALADO|19.433503  -99.1862378999999
166062|0016|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.3986774  -99.1674760999999
170306|0017|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.017507  -101.255508099999
180050|0018|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.2917326  -99.124906
196062|0019|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 200 500|INSTALADO|23.732404  -99.1439387
204634|0020|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.467957  -99.1449667
213651|0021|DUTY|NINBUS 800|ALLINONE|TACTIL|ACTIVO|WINDOWS 10|20 100 200 500|INSTALADO|19.4701693  -99.1317148
226062|0022|STRONG|QUIDDITCH 6000|EFECTIBANCO|BOTONES|LABORATORIO|UNIX|||19.4413488  -99.1837845999999
236062|0023|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|19.3782188  -99.2772888
240306|0024|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.017507  -101.255508099999
250306|0025|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|21.017507  -101.255508099999
260460|0026|HARD|NOX|EFECTIBANCO|BOTONES|BAJA DEF|UNIX|||21.8665245  -102.3025035
274634|0027|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|NO INSTALADO|19.467957  -99.1449667
285720|0028|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 200 200 500|NO INSTALADO|20.0275836  -96.6469210999999
290330|0029|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|23.6539806  -100.623987699999
300330|0030|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|23.6539806  -100.623987699999
310881|0031|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|23.2342114  -106.423180399999
320881|0032|STRONG|QUIDDITCH 6000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|23.2342114  -106.423180399999
330316|0033|DUTY|NINFUS 1000|EFECTIBANCO|VALIDANDO|BAJA DEF|WINDOWS 10|100 100 200 500|NO INSTALADO|19.693963  -101.179322299999
345943|0034|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|20.9650211  -89.6213697
356062|0035|STRONG|QUIDDITCH 5000|EFECTIBANCO|TACTIL|ACTIVO|WINDOWS 10|50 100 200 500|INSTALADO|18.4285028  -97.4083958
365692|0036|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|ACTIVO|WINDOWS 10|100 200 500 500|INSTALADO|16.4341995  -95.0219309
370316|0037|STRONG|LEVIOSA 522|EFECTIBANCO|BOTONES|BAJA DEF|WINDOWS 10|100 100 200 500|NO INSTALADO|19.693963  -101.179322299999
