ATM|FALLA|CAUSA|FECHA_INICIO|HORA_INICIO|FRACCION_HRS_F|HRS_FUERA|FAULTID|VENTANA
0010|Contingencia|Sin atencion por contingencia|2020-03-31|14:00:00|0.833|197|2364|Contingencia
0012|Contingencia|Sin atencion por contingencia|2020-04-02|03:05:01|0.75|160|2364|Contingencia
0013|Contingencia|Sin atencion por contingencia|2020-04-08|18:58:59|0.866|1|2364|Contingencia
0038|Contingencia|Sin atencion por contingencia|2020-03-23|10:18:06|0.533|393|2364|Contingencia
0040|Contingencia|Sin atencion por contingencia|2020-03-21|18:11:02|0.649|433|2364|Contingencia
0054|Contingencia|Sin atencion por contingencia|2020-04-01|09:54:01|0.933|177|2364|Contingencia
0151|Fallas Otras causas|Lectora - Shutter atascado o cerrado 205|2020-04-08|17:30:01|0.333|3|205|Recuperacion Manual
0169|Contingencia|Sin atencion por contingencia|2020-03-26|13:57:11|0.883|317|2364|Contingencia
0256|Contingencia|Sin atencion por contingencia|2020-03-24|22:08:01|0.699|357|2364|Contingencia
0344|Contingencia|Sin atencion por contingencia|2020-03-24|13:00:38|0.833|366|2364|Contingencia
0347|Contingencia|Sin atencion por contingencia|2020-04-03|23:15:01|0.583|116|2364|Contingencia
0427|Contingencia|Sin atencion por contingencia|2020-04-08|16:03:02|0.783|4|2364|Contingencia
0515|Contingencia|Sin atencion por contingencia|2020-04-02|16:45:00|0.083|147|2364|Contingencia
0518|Contingencia|Sin atencion por contingencia|2020-04-07|10:43:22|0.116|34|2364|Contingencia
0534|Contingencia|Sin atencion por contingencia|2020-04-02|16:45:00|0.083|147|2364|Contingencia
0541|Contingencia|Sin atencion por contingencia|2020-04-02|16:45:00|0.083|147|2364|Contingencia
0658|Contingencia|Sin atencion por contingencia|2020-03-22|06:04:00|0.766|421|2364|Contingencia
0706|Contingencia|Sin atencion por contingencia|2020-04-07|10:23:27|0.45|34|2364|Contingencia
0801|Fallas por Aplicativo|Monitor en negro / TFS|2020-04-06|18:35:23|0.25|50|21|Mantenimiento Tecnico
0830|Contingencia|Sin atencion por contingencia|2020-04-08|15:34:10|0.266|5|2364|Contingencia
0838|Contingencia|Sin atencion por contingencia|2020-04-02|16:38:00|0.199|147|2364|Contingencia
1007|Contingencia|Sin atencion por contingencia|2020-04-08|09:05:43|0.75|11|2364|Contingencia
1052|Contingencia|Sin atencion por contingencia|2020-04-02|10:44:54|0.099|153|2364|Contingencia
1112|Fallas Otras causas|Medio|2020-04-08|13:00:00|0.833|7|16|Comunicaciones
