CR|ATM|SUCURSAL |DIVISION|ZONA|CAS_1|CAS_2|CAS_3|CAS_4|PIEZAS_CAS_1|PIEZAS_CAS_2|PIEZAS_CAS_3|PIEZAS_CAS_4|MINIMO
0004|A023|NAUCALPAN PERIFERICO|METRO NORTE|INTERLOMAS 2|100|200|200|500|645|333|607|1885|450000
0004|A024|NAUCALPAN PERIFERICO|METRO NORTE|INTERLOMAS 2|100|200|200|500|12|515|749|372|450000
0004|D015|NAUCALPAN PERIFERICO|METRO NORTE|INTERLOMAS 2|20|100|200|500|459|992|1282|1194|516000
0004|D016|NAUCALPAN PERIFERICO|METRO NORTE|INTERLOMAS 2|20|100|200|500|539|431|734|1250|510000
0007|0181|D.F. CHURUBUSCO|METRO SUR|BENITO JUAREZ 1|100|200|500|500|1717|1794|721|504|585000
0007|0182|D.F. CHURUBUSCO|METRO SUR|BENITO JUAREZ 1|100|200|500|500|955|1068|0|1023|585000
0007|1116|D.F. CHURUBUSCO|METRO SUR|BENITO JUAREZ 1|100|200|500|500|1673|1647|1036|418|585000
0007|8572|D.F. CHURUBUSCO|METRO SUR|BENITO JUAREZ 1|20|100|500|0|535|717|1197|0|510000
0007|9947|D.F. CHURUBUSCO|METRO SUR|BENITO JUAREZ 1|20|100|500|0|407|667|1093|0|510000
0007|B364|D.F. CHURUBUSCO|METRO SUR|BENITO JUAREZ 1|20|100|200|500|447|1164|1211|560|369000
0008|0347|D.F. MERCED|METRO SUR|CENTRO 2|100|200|200|500|848|880|218|1106|513000
0008|7062|D.F. MERCED|METRO SUR|CENTRO 2|100|200|200|500|1076|1114|271|372|450000
0008|7066|D.F. MERCED|METRO SUR|CENTRO 2|50|100|200|500|443|1465|1107|423|407000
0008|0400|D.F. MERCED|METRO SUR|CENTRO 2|20|100|200|500|652|481|452|654|510000
0008|0416|D.F. MERCED|METRO SUR|CENTRO 2|20|100|200|500|725|663|683|586|510000
