CR|Sucursal|División|Zona
0007|D.F. CHURUBUSCO|METROPOLITANA SUR|BENITO JUAREZ
0008|D.F. MERCED|METROPOLITANA SUR|CENTRO
0009|LAS TORRES|METROPOLITANA NORTE|VALLEJO
0011|TLANEMEX|METROPOLITANA NORTE|SATELITE
0014|D.F. ERMITA|METROPOLITANA SUR|IZTAPALAPA
0016|D.F. LAGUNILLA|METROPOLITANA NORTE|REFORMA
0017|HEGEL|METROPOLITANA NORTE|POLANCO
0018|NIZA|METROPOLITANA NORTE|REFORMA
0020|NONOALCO|METROPOLITANA NORTE|AZCAPOTZALCO
0022|TLALNEPANTLA CENTRO|METROPOLITANA NORTE|TLALNEPANTLA
0024|D.F. XOCONGO|METROPOLITANA SUR|CENTRO
0028|D.F. XOLA|METROPOLITANA SUR|VIADUCTO
0030|WALTER C. BUCHANAN|METROPOLITANA NORTE|INTERLOMAS
0033|D.F. PEDREGAL|METROPOLITANA SUR|SAN ANGEL
0057|LA VILLA|METROPOLITANA NORTE|GUSTAVO A. MADERO
0066|D.F. CORREGIDORA|METROPOLITANA SUR|CENTRO
0069|GLORIETA DIANA|METROPOLITANA SUR|CONDESA
0071|D.F. FELIX CUEVAS SAN FRANCISCO|METROPOLITANA SUR|DEL VALLE
0077|D.F. RIVIERA|METROPOLITANA SUR|COYOACAN
0078|D.F. TEATRO INSURGENTES|METROPOLITANA SUR|DEL VALLE
0079|D.F. IZTACALCO|METROPOLITANA SUR|BENITO JUAREZ
0080|ARQUIMEDES|METROPOLITANA NORTE|POLANCO
0081|REVOLUCION ALTAVISTA|METROPOLITANA SUR|INSURGENTES
0093|MARIANO ESCOBEDO|METROPOLITANA NORTE|POLANCO
0103|SOR JUANA|METROPOLITANA NORTE|SATELITE
0105|16 DE septiembre|METROPOLITANA NORTE|INTERLOMAS
0115|SAN BARTOLO|METROPOLITANA NORTE|TOREO
0117|D.F. BAJA CALIFORNIA|METROPOLITANA SUR|VIADUCTO
0119|PLAZA COACALCO|METROPOLITANA NORTE|TULTITLAN
0120|TEXCOCO EMILIANO ZAPATA|METROPOLITANA SUR|NEZA
0128|PLAZA CRISTAL|METROPOLITANA NORTE|TLALNEPANTLA
0129|LOMAS DE SAN MATEO|METROPOLITANA NORTE|TOREO
0133|D.F. TLAHUAC BARRIO|METROPOLITANA SUR|ORIENTE
0137|ECATEPEC CENTRO|METROPOLITANA NORTE|ECATEPEC
0142|PLAZA ATIZAPAN|METROPOLITANA NORTE|TLALNEPANTLA
0145|1°. DE MAYO|METROPOLITANA NORTE|CUAUTITLAN
0148|TULPETLAC|METROPOLITANA NORTE|ECATEPEC
0149|VENTA DE CARPIO|METROPOLITANA NORTE|TULTITLAN
0150|D.F. GOMEZ FARIAS|METROPOLITANA SUR|VENUSTIANO CARRANZA
0185|TEPALCATES|METROPOLITANA SUR|ORIENTE
0197|HUIXQUILUCAN BOSQUES|METROPOLITANA NORTE|INTERLOMAS
0204|MONTERREY REVOLUCION|NORESTE|MONTERREY SUR
0208|MONTERREY OBISPADO|NORESTE|MONTERREY NORTE
0219|SAN NICOLAS UNIVERSIDAD NORTE|NORESTE|MONTERREY SAN NICOLAS
0229|D.F. EL TRIUNFO|METROPOLITANA SUR|BENITO JUAREZ
0230|D.F. MUNICIPIO LIBRE|METROPOLITANA SUR|BENITO JUAREZ
0238|D.F. POPOCATEPETL|METROPOLITANA SUR|COYOACAN
0240|DURANGO 20 DE NOVIEMBRE|NORESTE|DURANGO
0244|CHALCO PLAZA 2000|METROPOLITANA SUR|ORIENTE
0251|TORREON SAN ISIDRO|NORESTE|LA LAGUNA
0253|GOMEZ PALACIO INDUSTRIAL|NORESTE|LA LAGUNA
0254|TORREON-COLON|NORESTE|LA LAGUNA
0257|D.F. PLAZA MIRAMONTES|METROPOLITANA SUR|COYOACAN
0263|MONCLOVA OFNA. PRINCIPAL|NORESTE|COAHUILA NORTE
0267|RIO CONSULADO|METROPOLITANA NORTE|VALLEJO
0272|CHIHUAHUA ZARCO|NOROESTE|CHIHUAHUA PLAZA
0273|CHIHUAHUA MALL|NOROESTE|CHIHUAHUA PLAZA
0278|SALTILLO ZONA DORADA|NORESTE|SALTILLO
0283|D.F. LAS AGUILAS|METROPOLITANA SUR|SANTA FE
0298|MEOQUI|NOROESTE|CHIHUAHUA FORANEAS
0302|CELAYA ABASOLO|BAJIO|CELAYA
0303|SAN FRANCISCO DEL RINCON PLAZA COLONIAL|BAJIO|LEON NORTE
0310|LAZARO CARDENAS MELCHOR OCAMPO|REGIONAL OCCIDENTE|URUAPAN
0313|ZACATECAS LOPEZ PORTILLO|BAJIO|ZACATECAS
0316|MORELIA VENTURA PUENTE|REGIONAL OCCIDENTE|MORELIA ORIENTE
0323|GUANAJUATO NEJAYOTE|BAJIO|GUANAJUATO
0333|LEON PINO SUAREZ|BAJIO|LEON NORTE
0342|IRAPUATO CAMPESTRE|BAJIO|IRAPUATO
0346|MARINA NACIONAL|METROPOLITANA NORTE|POLANCO
0353|CHIHUAHUA JOSE MA. IGLESIAS|NOROESTE|CHIHUAHUA PLAZA
0355|CHIHUAHUA PLAZA VALLARTA|NOROESTE|CHIHUAHUA PLAZA
0356|CHIHUAHUA SANTA RITA|NOROESTE|CHIHUAHUA PLAZA
0365|D.F. PABELLON BOSQUES|METROPOLITANA SUR|LOMAS
0366|D.F. ERMITA EL MANTO|METROPOLITANA SUR|IZTAPALAPA
0368|PLAZA OASIS|METROPOLITANA SUR|INSURGENTES
0373|CD. JUAREZ JILOTEPEC|NOROESTE|JUAREZ
